_id,neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
88,West End,,,,,,,,,Y,,,,,Pre-K
89,West Oakland,,,,,,,,,Y,,,,,Pre-K
90,Westwood,,,,,,,,26,Y,,,,,Pre-K
91,Wilkinsburg Borough,,,,,,,,,Y,,,,,Pre-K
92,Windgap,,,,,,,,12,Y,,,,,Pre-K
93,Allegheny Center,35,,,,,,,39,Y,28,11,39,,K-5
94,Allegheny West,,,,,,,,,Y,,,,Y,K-5
95,Allentown,87,,,,16,,27,133,Y,81,52,133,,K-5
96,Arlington,31,,,,,,33,74,Y,36,38,74,,K-5
97,Arlington Heights,18,,,,,,,21,Y,,,21,Y,K-5
98,Banksville,,,22,,11,,46,88,Y,72,16,88,,K-5
99,Bedford Dwellings,107,,,,,,,112,Y,72,40,112,,K-5
100,Beechview,85,,,85,40,,125,339,Y,247,92,339,,K-5
101,Beltzhoover,84,,,,16,,,106,Y,49,57,106,,K-5
102,Bloomfield,21,,,,,,84,125,Y,44,81,125,,K-5
103,Bluff,24,,,,,,,29,Y,12,17,29,,K-5
104,Bon Air,,,,,,,14,17,Y,,,17,Y,K-5
105,Brighton Heights,143,,,,34,,105,296,Y,163,133,296,,K-5
106,Brookline,78,,19,28,73,,328,526,N,359,167,526,,K-5
107,California-Kirkbride,46,,,,,,,55,Y,28,27,55,,K-5
108,Carrick,150,,73,22,83,,213,541,N,392,149,541,,K-5
109,Central Lawrenceville,,,,,13,,32,54,Y,22,32,54,,K-5
110,Central Northside,41,,,,,,28,73,Y,,,73,Y,K-5
111,Central Oakland,,,,,,,,,Y,,,,Y,K-5
112,Chartiers City,13,,,,,,,15,Y,,,15,Y,K-5
113,Crafton Heights,144,,,,33,,43,230,Y,85,145,230,,K-5
114,Crawford-Roberts,91,,,,,,,98,Y,56,42,98,,K-5
115,Duquesne Heights,,,,,,,27,41,Y,,,41,Y,K-5
116,East Allegheny,,,,,,,14,34,Y,12,22,34,,K-5
117,East Carnegie,,,,,,,,12,Y,,,12,Y,K-5
118,East Hills,255,,,,14,,,275,Y,175,100,275,,K-5
119,East Liberty,173,,,,20,,37,247,Y,136,111,247,,K-5
120,Elliott,58,,,,16,,23,98,Y,44,54,98,,K-5
121,Esplen,,,,,,,,,Y,,,,Y,K-5
122,Fairywood,14,,,,,,,46,Y,21,25,46,,K-5
123,Fineview,37,,,,,,,53,Y,29,24,53,,K-5
124,Friendship,,,,,,,,20,Y,,,20,Y,K-5
125,Garfield,187,,,,,,,211,Y,82,129,211,,K-5
126,Glen Hazel,28,,,,,,,28,N,,,28,Y,K-5
127,Golden Triangle,,,,,,,,,Y,,,,Y,K-5
128,Greenfield,19,,13,,17,,150,206,Y,171,35,206,,K-5
129,Hays,,,,,,,,14,Y,,,14,Y,K-5
130,Hazelwood,154,,,,23,,38,221,Y,132,89,221,,K-5
131,Highland Park,57,,,,15,,91,177,Y,52,125,177,,K-5
132,Homewood North,261,,,,11,,,282,Y,178,104,282,,K-5
133,Homewood South,203,,,,12,,,218,Y,147,71,218,,K-5
134,Homewood West,57,,,,,,,58,Y,36,22,58,,K-5
135,Knoxville,168,,,13,29,,40,257,Y,134,123,257,,K-5
136,Larimer,112,,,,,,,133,Y,67,66,133,,K-5
137,Lincoln Place,,,,,12,,84,108,Y,78,30,108,,K-5
138,Lincoln-Lemington-Belmar,190,,,,13,,,208,Y,103,105,208,,K-5
139,Lower Lawrenceville,15,,,,,,22,47,Y,27,20,47,,K-5
140,Manchester,49,,,,,,,66,Y,33,33,66,,K-5
141,Marshall-Shadeland,135,,,,34,,43,218,Y,133,85,218,,K-5
142,Middle Hill,110,,,,,,,123,Y,73,50,123,,K-5
143,Morningside,17,,,,,,53,82,Y,25,57,82,,K-5
144,Mount Oliver,16,,,,,,,24,Y,,,24,Y,K-5
145,Mount Washington,68,,,,31,,86,195,Y,136,59,195,,K-5
146,Mt. Oliver Borough,104,,20,18,27,,40,209,N,95,111,206,,K-5
147,New Homestead,,,,,,,11,20,Y,,,20,Y,K-5
148,North Oakland,,,,,,,,,Y,,,,Y,K-5
149,Northview Heights,243,,,,,,,254,Y,108,146,254,,K-5
150,Oakwood,,,17,,,,18,44,Y,11,33,44,,K-5
151,Overbrook,17,,,,,,84,120,Y,67,53,120,,K-5
152,Perry North,90,,,,21,,64,182,Y,74,108,182,,K-5
153,Perry South,131,,,13,26,,16,189,Y,51,138,189,,K-5
154,Point Breeze,,,,,,,72,99,Y,63,36,99,,K-5
155,Point Breeze North,28,,,,,,16,52,Y,28,24,52,,K-5
156,Polish Hill,,,,,,,,23,Y,12,11,23,,K-5
157,Regent Square,,,,,,,,,Y,,,,Y,K-5
158,Ridgemont,,,,,,,,,Y,,,,Y,K-5
159,Saint Clair,,,,,,,,13,Y,,,13,Y,K-5
160,Shadyside,14,,42,,14,,39,116,Y,97,19,116,,K-5
161,Sheraden,189,,,,49,,32,275,Y,185,90,275,,K-5
162,South Oakland,19,,,,,,,23,Y,,,23,Y,K-5
163,South Shore,,,,,,,,,Y,,,,Y,K-5
164,South Side Flats,,,,,,,28,53,Y,41,12,53,,K-5
165,South Side Slopes,28,,,,,,37,83,Y,43,40,83,,K-5
166,Spring Garden,,,,,,,20,34,Y,16,18,34,,K-5
167,Spring Hill-City View,51,,,,16,,44,116,Y,75,41,116,,K-5
168,Squirrel Hill North,,,13,,11,,80,109,Y,,,109,Y,K-5
169,Squirrel Hill South,15,,52,,33,,175,286,Y,243,43,286,,K-5
170,Stanton Heights,65,,,,12,,52,139,Y,53,86,139,,K-5
171,Strip District,,,,,,,,,Y,,,,Y,K-5
172,Summer Hill,,,,,,,,16,Y,,,16,Y,K-5
173,Swisshelm Park,,,,,,,,,Y,,,,Y,K-5
174,Terrace Village,177,,,,16,,,200,Y,86,114,200,,K-5
175,Troy Hill,21,,,,,,27,56,Y,29,27,56,,K-5
176,Upper Hill,54,,,,11,,,70,Y,26,44,70,,K-5
177,Upper Lawrenceville,,,,,,,32,51,Y,32,19,51,,K-5
178,West End,13,,,,,,,17,Y,,,17,Y,K-5
179,West Oakland,21,,,,,,,26,Y,12,14,26,,K-5
180,Westwood,14,,64,,,,34,126,Y,60,66,126,,K-5
181,Wilkinsburg Borough,,,,,,,,11,Y,,,11,Y,K-5
182,Windgap,23,,,,,,,40,Y,28,12,40,,K-5
183,Allegheny Center,20,,,,,,,23,Y,,,23,Y,6-8
184,Allegheny West,,,,,,,,,Y,,,,Y,6-8
185,Allentown,52,,,,12,,19,84,Y,52,32,84,,6-8
186,Arlington,35,,,,,,,49,Y,28,21,49,,6-8
187,Arlington Heights,,,,,,,,,Y,,,,Y,6-8
188,Banksville,,,,,,,24,39,Y,17,22,39,,6-8
189,Bedford Dwellings,47,,,,,,,48,Y,21,27,48,,6-8
190,Beechview,49,,,36,23,,84,196,Y,70,126,196,,6-8
191,Beltzhoover,61,,,,,,,69,Y,30,39,69,,6-8
192,Bloomfield,,,,,,,30,50,Y,21,29,50,,6-8
193,Bluff,,,,,,,,11,Y,,,11,Y,6-8
194,Bon Air,,,,,,,,18,Y,,,18,Y,6-8
195,Brighton Heights,70,,,,12,,30,119,Y,54,65,119,,6-8
196,Brookline,35,,,18,36,,177,276,Y,166,110,276,,6-8
197,California-Kirkbride,24,,,,,,,29,Y,12,17,29,,6-8
198,Carrick,93,,28,,32,,130,293,Y,178,115,293,,6-8
199,Central Lawrenceville,,,,,,,23,34,Y,,,34,Y,6-8
200,Central Northside,18,,,,,,,27,Y,,,27,Y,6-8
201,Central Oakland,,,,,,,,,Y,,,,Y,6-8
202,Chartiers City,,,,,,,,,Y,,,,Y,6-8
203,Crafton Heights,71,,,,15,,27,119,Y,48,71,119,,6-8
204,Crawford-Roberts,50,,,,,,,51,Y,17,34,51,,6-8
205,Duquesne Heights,,,,,,,,14,Y,,,14,Y,6-8
206,East Allegheny,,,,,,,,15,Y,,,15,Y,6-8
207,East Carnegie,,,,,,,,,Y,,,,Y,6-8
208,East Hills,118,,,,,,,130,Y,65,65,130,,6-8
209,East Liberty,81,,,,,,,104,Y,28,76,104,,6-8
210,Elliott,35,,,,,,12,60,Y,29,31,60,,6-8
211,Esplen,,,,,,,,,Y,,,,Y,6-8
212,Fairywood,,,,,,,,18,Y,,,18,Y,6-8
213,Fineview,,,,,,,,12,Y,,,12,Y,6-8
214,Friendship,,,,,,,,11,Y,,,11,Y,6-8
215,Garfield,110,,,,,,,128,Y,55,73,128,,6-8
216,Glen Hazel,18,,,,,,,18,N,,,18,Y,6-8
217,Golden Triangle,,,,,,,,,Y,,,,Y,6-8
218,Greenfield,,,,,14,,71,108,Y,74,34,108,,6-8
219,Hays,,,,,,,,15,Y,,,15,Y,6-8
220,Hazelwood,101,,,,,,36,152,Y,99,53,152,,6-8
221,Highland Park,24,,,,,,34,72,Y,,,72,Y,6-8
222,Homewood North,127,,,,,,,131,Y,45,86,131,,6-8
223,Homewood South,88,,,,,,,91,Y,36,55,91,,6-8
224,Homewood West,21,,,,,,,21,N,,,21,Y,6-8
225,Knoxville,105,,,,22,,30,169,Y,85,84,169,,6-8
226,Larimer,45,,,,,,,54,Y,14,40,54,,6-8
227,Lincoln Place,,,,,,,33,51,Y,37,14,51,,6-8
228,Lincoln-Lemington-Belmar,116,,,,,,,128,Y,47,81,128,,6-8
229,Lower Lawrenceville,,,,,,,,16,Y,,,16,Y,6-8
230,Manchester,29,,,,,,,39,Y,17,22,39,,6-8
231,Marshall-Shadeland,67,,,,14,,14,99,Y,59,40,99,,6-8
232,Middle Hill,39,,,,,,,41,Y,19,22,41,,6-8
233,Morningside,15,,,,,,21,40,Y,12,28,40,,6-8
234,Mount Oliver,13,,,,,,,24,Y,,,24,Y,6-8
235,Mount Washington,36,,,,20,,49,110,Y,65,45,110,,6-8
236,Mt. Oliver Borough,56,,,12,15,,25,113,Y,39,74,113,,6-8
237,NULL,,,,,,,,,Y,,,,Y,6-8
238,New Homestead,,,,,,,,,Y,,,,Y,6-8
